Date,Emerging Markets Equal Weighted Currency Index,Emerging Markets Equal Weighted Index Equity Index (Local Currency),MSCI Emerging Markets Equity Index (USD),S&P 500,Dax,MSCI Europe Financials Index,J.P. Morgan Emerging Markets Bond Index , IBoxx US Investment Grade Corporate Bond Index , IBoxx US High Yield Corporate Bond Index,Emerging Markets -US 10 Year Bond  Average Spread,US 10 Year Treasury Yield,Crude Oil WTI,Gold ,London Metal Exchange Index,US Dollar Index
1/31/2012,0.004764169,0.014406799,0.020039447,-0.010267766,0.005682708,-0.002899798,0.011429048,0.016293435,0.00569305,0.034959853,-0.10344178,-0.009197997,0.022312023,-0.006117715,-0.003722131
2/6/2012,0.010816806,0.022673601,0.027515413,0.024346031,0.047338078,0.059234893,0.008120519,0.002493588,0.006714631,-0.033935554,0.059028876,-0.015857292,-0.008589853,0.013485002,-0.002809738
2/10/2012,-0.002632118,-0.002874754,-0.004827708,-0.001228697,-0.010662041,-0.005517809,-0.00040016,-0.000201399,-0.001108688,-0.021010297,0.043649273,0.018105082,0.000302347,-0.002651478,0.000556434
2/16/2012,-0.001713385,0.006353058,0.007154158,0.011467136,0.008804333,0.000273598,0.004199798,0.000190494,-0.000204108,0.001379112,4.28306E-05,0.036839912,0.002075127,-0.030754023,0.00306222
2/23/2012,0.008012299,0.007381478,0.009854402,0.003990379,0.008541848,0.013573451,0.009226834,0.000995067,0.009733669,0.004708959,0.006108616,0.054041909,0.033613762,0.022571625,-0.00669883
2/29/2012,0.003185649,0.006560697,0.019180365,0.001782317,0.006862151,0.00844212,0.005108134,0.010841938,0.007117688,0.014349726,-0.011013485,-0.006981774,-0.041897604,0.009128817,-0.001046604
3/6/2012,-0.015038643,-0.013537512,-0.034933673,-0.016317118,-0.032465802,-0.047582111,0.003992221,-0.00340294,-0.011774219,-0.000343735,-0.012151312,-0.022162898,-0.022471624,-0.032373598,0.01424418
3/12/2012,0.005374266,0.004564129,0.009170305,0.020632069,0.040458379,0.020602777,0.00822149,-0.002699847,0.005811649,-0.012363008,0.04452492,0.015638499,0.01662184,0.018582386,0.000205676
3/16/2012,0.000959723,0.016565213,0.012458531,0.024104827,0.03716693,0.07198654,-0.005205496,-0.011965613,0.000596668,-0.037389902,0.12808349,0.006869421,-0.025687937,0.00619626,-0.001240185
3/22/2012,-0.0067894,-0.010764403,-0.021255076,-0.008107297,-0.024672152,-0.036362399,-0.003199065,0.002285569,-0.001102229,0.007914878,-0.007066625,-0.015967327,-0.007978575,-0.032223984,-0.000603852
3/28/2012,0.004089184,0.003875189,0.00373868,0.009225812,0.002665585,-0.00145245,-0.000901009,0.005410037,0.001,0.015994636,-0.035487959,0.000530266,0.009544888,0.000943676,-0.007594616
4/3/2012,0.000589186,0.004975181,0.011421961,0.005571346,-0.002388404,-0.023204443,-0.000704093,-0.000302701,-2.43146E-06,-0.027024831,0.041725745,-0.013326524,0.007245525,0.021430598,0.004469019
4/10/2012,-0.012645441,-0.021557727,-0.037050383,-0.038793419,-0.053824469,-0.079447527,-0.001500299,0.003168919,-0.008374982,0.081568178,-0.133814616,-0.028776461,-0.006332765,-0.048439695,0.005187298
4/16/2012,0.00287771,0.000980855,0.004755135,0.008031576,0.002896116,-0.009408889,0.006009794,0.002901028,0.003099508,-0.00206647,-0.002014997,0.018968239,-0.006449139,-0.007075263,-0.004051515
